,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.59,26.89,59.67,34,0,9.48,ZA,1594600970
1,jiuquan,39.74,98.52,84.92,23,100,10.87,CN,1594601138
2,beringovskiy,63.05,179.32,51.19,81,100,9.42,RU,1594601042
3,gambela,8.25,34.58,69.64,90,100,1.99,ET,1594601164
4,punta arenas,-53.15,-70.92,33.8,83,24,8.05,CL,1594601164
5,little chute,44.28,-88.32,78.01,33,20,8.05,US,1594601164
6,chino valley,34.76,-112.45,93.99,25,20,12.75,US,1594601164
7,esperance,-33.87,121.9,48.2,61,0,20.8,AU,1594601056
8,arraial do cabo,-22.97,-42.03,72.46,78,92,13.87,BR,1594600948
9,ushuaia,-54.8,-68.3,35.6,80,40,18.34,AR,1594601165
10,dubai,25.26,55.3,98.6,42,0,6.93,AE,1594600888
11,ribeira grande,38.52,-28.7,68.7,82,8,15.82,PT,1594601165
12,hobart,-42.88,147.33,46.0,87,75,5.82,AU,1594600950
13,atar,20.52,-13.05,92.37,36,94,7.36,MR,1594600979
14,albany,42.6,-73.97,82.99,54,95,1.99,US,1594601166
15,bathsheba,13.22,-59.52,82.4,78,20,14.99,BB,1594600962
16,kruisfontein,-34.0,24.73,56.14,35,0,11.14,ZA,1594601166
17,san francisco,37.77,-122.42,75.2,49,1,23.04,US,1594600903
18,rikitea,-23.12,-134.97,71.2,73,90,14.18,PF,1594601167
19,batagay,67.63,134.63,80.49,51,69,2.93,RU,1594600963
20,de aar,-30.65,24.01,42.03,54,0,12.3,ZA,1594601167
21,cidreira,-30.18,-50.21,54.86,85,36,6.8,BR,1594601167
22,ulladulla,-35.35,150.47,55.4,76,40,5.82,AU,1594601111
23,san patricio,19.22,-104.7,84.2,79,75,13.87,MX,1594600966
24,egvekinot,66.32,-179.17,57.85,47,100,6.06,RU,1594600985
25,fairbanks,64.84,-147.72,71.6,28,40,14.99,US,1594601133
26,chuy,-33.7,-53.46,44.02,70,100,8.97,UY,1594600970
27,georgetown,5.41,100.34,80.6,94,20,4.88,MY,1594601036
28,vila velha,-20.33,-40.29,73.4,73,75,6.93,BR,1594600916
29,cherskiy,68.75,161.3,54.93,88,100,2.39,RU,1594601003
30,bethel,41.37,-73.41,75.99,83,11,6.91,US,1594601152
31,volgorechensk,57.44,41.16,57.2,100,7,4.47,RU,1594601170
32,kapaa,22.08,-159.32,82.4,69,40,20.8,US,1594601170
33,port lincoln,-34.73,135.87,56.12,75,49,3.0,AU,1594600960
34,lebu,-37.62,-73.65,48.31,88,100,8.41,CL,1594601170
35,plettenberg bay,-34.05,23.37,63.97,31,0,12.53,ZA,1594601171
36,lander,42.83,-108.73,91.99,11,1,20.8,US,1594601146
37,maceio,-9.67,-35.74,73.4,88,75,1.12,BR,1594600946
38,pala,9.36,14.9,71.67,93,100,4.63,TD,1594601172
39,leh,34.17,77.58,55.29,40,30,5.35,IN,1594601172
40,pisco,-13.7,-76.22,61.0,87,40,4.7,PE,1594601075
41,vaini,-21.2,-175.2,71.55,77,62,26.24,TO,1594600943
42,hilo,19.73,-155.09,84.2,58,20,9.17,US,1594600992
43,cabo san lucas,22.89,-109.91,95.0,41,40,11.41,MX,1594600956
44,zhigansk,66.77,123.37,70.92,50,100,4.12,RU,1594601173
45,puerto ayora,-0.74,-90.35,68.0,91,46,7.72,EC,1594601173
46,west wendover,40.74,-114.07,98.6,6,1,8.05,US,1594601173
47,saint anthony,45.02,-93.22,82.4,39,20,3.36,US,1594601174
48,busselton,-33.65,115.33,59.0,68,98,12.8,AU,1594601140
49,guerrero negro,27.98,-114.06,78.06,49,0,20.07,MX,1594600973
50,grand-lahou,5.14,-5.02,75.2,85,56,6.67,CI,1594601174
51,saint-philippe,-21.36,55.77,66.2,72,46,8.05,RE,1594601039
52,bluff,-46.6,168.33,47.5,69,100,11.52,NZ,1594601046
53,olafsvik,64.89,-23.71,50.56,83,60,4.61,IS,1594601175
54,fortuna,40.6,-124.16,68.0,68,1,17.22,US,1594600879
55,velenje,46.36,15.11,52.0,87,0,2.06,SI,1594601175
56,butaritari,3.07,172.79,83.8,76,69,12.03,KI,1594600995
57,provideniya,64.38,-173.3,50.0,81,40,15.66,RU,1594601033
58,rio gallegos,-51.62,-69.22,33.8,80,40,23.04,AR,1594601176
59,port elizabeth,-33.92,25.57,62.6,29,0,11.41,ZA,1594601176
60,burayevo,55.84,55.41,60.37,85,0,3.85,RU,1594601176
61,dakar,14.69,-17.44,77.0,100,40,14.36,SN,1594601056
62,east london,-33.02,27.91,60.12,35,0,15.28,ZA,1594600992
63,sedniv,51.64,31.57,55.22,94,100,14.76,UA,1594601177
64,husavik,66.04,-17.34,51.8,87,20,2.24,IS,1594601177
65,mahebourg,-20.41,57.7,69.8,83,75,12.75,MU,1594601110
66,marzuq,14.4,46.47,79.7,50,77,4.97,YE,1594601177
67,namibe,-15.2,12.15,62.64,74,0,8.86,AO,1594601177
68,yellowknife,62.46,-114.35,71.6,49,75,3.36,CA,1594601056
69,tiksi,71.69,128.87,64.62,48,0,8.1,RU,1594600953
70,ostrovnoy,68.05,39.51,47.61,91,100,7.96,RU,1594601178
71,mizan teferi,6.98,35.58,61.83,91,100,0.83,ET,1594601178
72,mar del plata,-38.0,-57.56,42.8,60,0,23.04,AR,1594601127
73,carndonagh,55.25,-7.27,57.34,95,95,7.2,IE,1594601178
74,vidim,56.41,103.11,68.58,50,0,6.62,RU,1594601179
75,anadyr,64.75,177.48,57.2,76,40,4.47,RU,1594601179
76,kysyl-syr,63.9,122.76,68.58,71,100,1.01,RU,1594601179
77,caravelas,-17.71,-39.25,70.18,88,80,3.38,BR,1594600958
78,new norfolk,-42.78,147.06,44.01,92,0,1.23,AU,1594600892
79,rocky mountain house,52.37,-114.92,53.06,88,100,5.35,CA,1594601179
80,ponta do sol,32.67,-17.1,68.0,68,20,14.99,PT,1594601054
81,hirara,24.8,125.28,87.8,70,75,8.05,JP,1594601180
82,laguna,38.42,-121.42,102.99,10,1,9.17,US,1594601023
83,hasaki,35.73,140.83,72.0,93,75,3.36,JP,1594601180
84,esso,55.93,158.7,71.06,52,100,5.82,RU,1594601180
85,belaya gora,68.53,146.42,76.91,34,69,10.6,RU,1594601181
86,gat,31.61,34.76,73.99,87,1,4.59,IL,1594601181
87,severo-kurilsk,50.68,156.12,50.54,90,100,8.37,RU,1594601181
88,flinders,-34.58,150.86,57.99,77,0,8.99,AU,1594601034
89,sisimiut,66.94,-53.67,49.78,66,87,12.33,GL,1594601181
90,bredasdorp,-34.53,20.04,62.6,48,91,19.46,ZA,1594601182
91,denpasar,-8.65,115.22,77.0,100,75,3.36,ID,1594601182
92,luderitz,-26.65,15.16,51.8,87,0,5.82,NA,1594601160
93,komsomolskiy,40.43,71.72,73.4,53,69,4.7,UZ,1594601182
94,saint george,37.1,-113.58,108.0,12,1,16.11,US,1594601182
95,eureka,40.8,-124.16,72.0,1,2,5.01,US,1594600905
96,atuona,-9.8,-139.03,79.43,76,0,18.12,PF,1594601183
97,caetite,-14.07,-42.48,65.05,74,84,8.95,BR,1594601183
98,ushtobe,45.25,77.98,70.65,36,0,4.14,KZ,1594601183
99,dauphin,51.15,-100.05,77.0,61,1,5.82,CA,1594601184
100,bosaso,11.28,49.18,90.99,42,91,23.02,SO,1594600995
101,avarua,-21.21,-159.78,68.0,94,100,3.36,CK,1594601184
102,katsina,12.99,7.6,74.21,73,3,9.75,NG,1594601184
103,college,64.86,-147.8,71.6,30,75,6.93,US,1594601181
104,hithadhoo,-0.6,73.08,84.51,76,26,11.59,MV,1594601142
105,yulara,-25.24,130.99,50.0,53,0,9.17,AU,1594601185
106,saldanha,-33.01,17.94,57.2,93,65,17.22,ZA,1594601141
107,labuhan,-6.88,112.21,78.44,79,100,7.65,ID,1594601185
108,palmer,42.16,-72.33,84.2,51,40,10.29,US,1594601185
109,slobozia,46.73,29.71,57.2,87,90,14.99,MD,1594601185
110,bac lieu,9.29,105.72,82.47,78,100,5.86,VN,1594600971
111,macapa,0.04,-51.07,82.4,83,62,5.82,BR,1594601066
